TID;OMRÅDE;CIVILSTAND;INDHOLD
2008Q1;Hillerød;Never married;20540
2008Q1;Hillerød;Married/separated;20151
2008Q1;Hillerød;Widowed;2346
2008Q1;Hillerød;Divorced;3531
2008Q1;Hørsholm;Total;24197
2008Q1;Hørsholm;Never married;9217
2008Q1;Hørsholm;Married/separated;11217
2008Q1;Hørsholm;Widowed;1587
2008Q1;Hørsholm;Divorced;2176
2008Q1;Rudersdal;Total;53869
2008Q1;Rudersdal;Never married;22433
2008Q1;Rudersdal;Married/separated;23850
2008Q1;Rudersdal;Widowed;3442
2008Q1;Rudersdal;Divorced;4144
2008Q1;Bornholm;Total;42817
2008Q1;Bornholm;Never married;17226
2008Q1;Bornholm;Married/separated;18335
2008Q1;Bornholm;Widowed;3389
2008Q1;Bornholm;Divorced;3867
2008Q1;Christiansø;Total;96
2008Q1;Christiansø;Never married;35
2008Q1;Christiansø;Married/separated;46
2008Q1;Christiansø;Widowed;8
2008Q1;Christiansø;Divorced;7
2008Q1;Region Sjælland;Total;819427
2008Q1;Region Sjælland;Never married;350995
2008Q1;Region Sjælland;Married/separated;349013
2008Q1;Region Sjælland;Widowed;50758
2008Q1;Region Sjælland;Divorced;68661
2008Q1;Greve;Total;47773
2008Q1;Greve;Never married;19459
2008Q1;Greve;Married/separated;22297
2008Q1;Greve;Widowed;2227
2008Q1;Greve;Divorced;3790
2008Q1;Køge;Total;56637
2008Q1;Køge;Never married;24632
2008Q1;Køge;Married/separated;24420
2008Q1;Køge;Widowed;3006
2008Q1;Køge;Divorced;4579
2008Q1;Lejre;Total;26603
2008Q1;Lejre;Never married;10727
2008Q1;Lejre;Married/separated;12951
2008Q1;Lejre;Widowed;1264
2008Q1;Lejre;Divorced;1661
2008Q1;Roskilde;Total;80687
2008Q1;Roskilde;Never married;36351
2008Q1;Roskilde;Married/separated;33595
2008Q1;Roskilde;Widowed;4296
2008Q1;Roskilde;Divorced;6445
2008Q1;Solrød;Total;20759
2008Q1;Solrød;Never married;8512
2008Q1;Solrød;Married/separated;9832
2008Q1;Solrød;Widowed;909
2008Q1;Solrød;Divorced;1506
2008Q1;Faxe;Total;35418
2008Q1;Faxe;Never married;14852
2008Q1;Faxe;Married/separated;15606
2008Q1;Faxe;Widowed;2101
2008Q1;Faxe;Divorced;2859
2008Q1;Guldborgsund;Total;63496
2008Q1;Guldborgsund;Never married;26054
2008Q1;Guldborgsund;Married/separated;26678
2008Q1;Guldborgsund;Widowed;4913
2008Q1;Guldborgsund;Divorced;5851
2008Q1;Holbæk;Total;69010
2008Q1;Holbæk;Never married;30677
2008Q1;Holbæk;Married/separated;29024
2008Q1;Holbæk;Widowed;3943
2008Q1;Holbæk;Divorced;5366
2008Q1;Kalundborg;Total;49743
2008Q1;Kalundborg;Never married;21461
2008Q1;Kalundborg;Married/separated;20709
2008Q1;Kalundborg;Widowed;3273
2008Q1;Kalundborg;Divorced;4300
2008Q1;Lolland;Total;48219
2008Q1;Lolland;Never married;19681
2008Q1;Lolland;Married/separated;19630
2008Q1;Lolland;Widowed;4118
2008Q1;Lolland;Divorced;4790
2008Q1;Næstved;Total;80732
2008Q1;Næstved;Never married;35759
2008Q1;Næstved;Married/separated;32998
2008Q1;Næstved;Widowed;4950
2008Q1;Næstved;Divorced;7025
2008Q1;Odsherred;Total;33129
2008Q1;Odsherred;Never married;13009
2008Q1;Odsherred;Married/separated;14598
2008Q1;Odsherred;Widowed;2411
2008Q1;Odsherred;Divorced;3111
2008Q1;Ringsted;Total;32092
2008Q1;Ringsted;Never married;14353
2008Q1;Ringsted;Married/separated;13526
2008Q1;Ringsted;Widowed;1786
2008Q1;Ringsted;Divorced;2427
2008Q1;Slagelse;Total;77457
2008Q1;Slagelse;Never married;35026
2008Q1;Slagelse;Married/separated;30787
2008Q1;Slagelse;Widowed;4866
2008Q1;Slagelse;Divorced;6778
2008Q1;Sorø;Total;29180
2008Q1;Sorø;Never married;12738
2008Q1;Sorø;Married/separated;12384
2008Q1;Sorø;Widowed;1817
2008Q1;Sorø;Divorced;2241
2008Q1;Stevns;Total;21892
2008Q1;Stevns;Never married;8637
2008Q1;Stevns;Married/separated;10183
2008Q1;Stevns;Widowed;1366
2008Q1;Stevns;Divorced;1706
2008Q1;Vordingborg;Total;46600
2008Q1;Vordingborg;Never married;19067
2008Q1;Vordingborg;Married/separated;19795
2008Q1;Vordingborg;Widowed;3512
2008Q1;Vordingborg;Divorced;4226
2008Q1;Region Syddanmark;Total;1194659
2008Q1;Region Syddanmark;Never married;539329
2008Q1;Region Syddanmark;Married/separated;494538
2008Q1;Region Syddanmark;Widowed;73033
2008Q1;Region Syddanmark;Divorced;87759
2008Q1;Assens;Total;42054
2008Q1;Assens;Never married;18044
2008Q1;Assens;Married/separated;18406
2008Q1;Assens;Widowed;2659
2008Q1;Assens;Divorced;2945
2008Q1;Faaborg-Midtfyn;Total;51950
2008Q1;Faaborg-Midtfyn;Never married;21819
2008Q1;Faaborg-Midtfyn;Married/separated;22957
2008Q1;Faaborg-Midtfyn;Widowed;3509
2008Q1;Faaborg-Midtfyn;Divorced;3665
2008Q1;Kerteminde;Total;23630
2008Q1;Kerteminde;Never married;9794
2008Q1;Kerteminde;Married/separated;10507
2008Q1;Kerteminde;Widowed;1566
2008Q1;Kerteminde;Divorced;1763
2008Q1;Langeland;Total;13741
2008Q1;Langeland;Never married;5089
2008Q1;Langeland;Married/separated;6111
2008Q1;Langeland;Widowed;1311
2008Q1;Langeland;Divorced;1230
2008Q1;Middelfart;Total;37274
2008Q1;Middelfart;Never married;15734
2008Q1;Middelfart;Married/separated;16416
2008Q1;Middelfart;Widowed;2378
2008Q1;Middelfart;Divorced;2746
2008Q1;Nordfyns;Total;29470
2008Q1;Nordfyns;Never married;12570
2008Q1;Nordfyns;Married/separated;13189
2008Q1;Nordfyns;Widowed;1776
2008Q1;Nordfyns;Divorced;1935
2008Q1;Nyborg;Total;31607
2008Q1;Nyborg;Never married;13465
2008Q1;Nyborg;Married/separated;13541
2008Q1;Nyborg;Widowed;2089
2008Q1;Nyborg;Divorced;2512
2008Q1;Odense;Total;186932
2008Q1;Odense;Never married;93989
2008Q1;Odense;Married/separated;67266
2008Q1;Odense;Widowed;10548
2008Q1;Odense;Divorced;15129
2008Q1;Svendborg;Total;59040
2008Q1;Svendborg;Never married;26310
2008Q1;Svendborg;Married/separated;24200
2008Q1;Svendborg;Widowed;3779
2008Q1;Svendborg;Divorced;4751
2008Q1;Ærø;Total;6712
2008Q1;Ærø;Never married;2453
2008Q1;Ærø;Married/separated;2970
2008Q1;Ærø;Widowed;707
2008Q1;Ærø;Divorced;582
2008Q1;Billund;Total;26181
2008Q1;Billund;Never married;11651
2008Q1;Billund;Married/separated;11379
2008Q1;Billund;Widowed;1601
2008Q1;Billund;Divorced;1550
2008Q1;Esbjerg;Total;114244
2008Q1;Esbjerg;Never married;53244
2008Q1;Esbjerg;Married/separated;45914
2008Q1;Esbjerg;Widowed;6413
2008Q1;Esbjerg;Divorced;8673
2008Q1;Fanø;Total;3192
2008Q1;Fanø;Never married;1156
2008Q1;Fanø;Married/separated;1514
2008Q1;Fanø;Widowed;252
2008Q1;Fanø;Divorced;270
2008Q1;Fredericia;Total;49463
2008Q1;Fredericia;Never married;21985
2008Q1;Fredericia;Married/separated;20271
2008Q1;Fredericia;Widowed;3008
2008Q1;Fredericia;Divorced;4199
2008Q1;Haderslev;Total;56414
2008Q1;Haderslev;Never married;24873
2008Q1;Haderslev;Married/separated;23800
2008Q1;Haderslev;Widowed;3662
2008Q1;Haderslev;Divorced;4079
2008Q1;Kolding;Total;87781
2008Q1;Kolding;Never married;41297
2008Q1;Kolding;Married/separated;35243
2008Q1;Kolding;Widowed;4849
2008Q1;Kolding;Divorced;6392
2008Q1;Sønderborg;Total;76913
2008Q1;Sønderborg;Never married;33346
2008Q1;Sønderborg;Married/separated;33307
2008Q1;Sønderborg;Widowed;4748
2008Q1;Sønderborg;Divorced;5512
2008Q1;Tønder;Total;40367
2008Q1;Tønder;Never married;17406
2008Q1;Tønder;Married/separated;17429
2008Q1;Tønder;Widowed;2921
2008Q1;Tønder;Divorced;2611
2008Q1;Varde;Total;50125
2008Q1;Varde;Never married;22207
2008Q1;Varde;Married/separated;22141
2008Q1;Varde;Widowed;3037
2008Q1;Varde;Divorced;2740
2008Q1;Vejen;Total;42447
2008Q1;Vejen;Never married;19127
2008Q1;Vejen;Married/separated;18141
2008Q1;Vejen;Widowed;2601
2008Q1;Vejen;Divorced;2578
2008Q1;Vejle;Total;104933
2008Q1;Vejle;Never married;48109
2008Q1;Vejle;Married/separated;43708
2008Q1;Vejle;Widowed;5796
2008Q1;Vejle;Divorced;7320
2008Q1;Aabenraa;Total;60189
2008Q1;Aabenraa;Never married;25661
2008Q1;Aabenraa;Married/separated;26128
2008Q1;Aabenraa;Widowed;3823
2008Q1;Aabenraa;Divorced;4577
2008Q1;Region Midtjylland;Total;1237041
2008Q1;Region Midtjylland;Never married;587538
2008Q1;Region Midtjylland;Married/separated;498744
2008Q1;Region Midtjylland;Widowed;67414
2008Q1;Region Midtjylland;Divorced;83345
2008Q1;Favrskov;Total;45604
2008Q1;Favrskov;Never married;20295
2008Q1;Favrskov;Married/separated;20629
2008Q1;Favrskov;Widowed;2187
2008Q1;Favrskov;Divorced;2493
2008Q1;Hedensted;Total;45561
2008Q1;Hedensted;Never married;20011
2008Q1;Hedensted;Married/separated;20377
2008Q1;Hedensted;Widowed;2635
2008Q1;Hedensted;Divorced;2538
2008Q1;Horsens;Total;80102
2008Q1;Horsens;Never married;37321
2008Q1;Horsens;Married/separated;32410
2008Q1;Horsens;Widowed;4416
2008Q1;Horsens;Divorced;5955
2008Q1;Norddjurs;Total;38581
2008Q1;Norddjurs;Never married;16849
2008Q1;Norddjurs;Married/separated;16084
2008Q1;Norddjurs;Widowed;2685
2008Q1;Norddjurs;Divorced;2963
2008Q1;Odder;Total;21562
2008Q1;Odder;Never married;9101
2008Q1;Odder;Married/separated;9821
2008Q1;Odder;Widowed;1231
2008Q1;Odder;Divorced;1409
2008Q1;Randers;Total;93644
2008Q1;Randers;Never married;43371
2008Q1;Randers;Married/separated;37249
2008Q1;Randers;Widowed;5818
2008Q1;Randers;Divorced;7206
2008Q1;Samsø;Total;4085
2008Q1;Samsø;Never married;1519
2008Q1;Samsø;Married/separated;1763
2008Q1;Samsø;Widowed;410
2008Q1;Samsø;Divorced;393
2008Q1;Silkeborg;Total;87371
2008Q1;Silkeborg;Never married;39923
2008Q1;Silkeborg;Married/separated;36806
2008Q1;Silkeborg;Widowed;4609
2008Q1;Silkeborg;Divorced;6033
2008Q1;Skanderborg;Total;56044
2008Q1;Skanderborg;Never married;25032
2008Q1;Skanderborg;Married/separated;25278
2008Q1;Skanderborg;Widowed;2428
2008Q1;Skanderborg;Divorced;3306
2008Q1;Syddjurs;Total;41281
2008Q1;Syddjurs;Never married;17198
2008Q1;Syddjurs;Married/separated;18520
2008Q1;Syddjurs;Widowed;2557
2008Q1;Syddjurs;Divorced;3006
2008Q1;Aarhus;Total;298538
2008Q1;Aarhus;Never married;164535
2008Q1;Aarhus;Married/separated;98639
2008Q1;Aarhus;Widowed;13149
2008Q1;Aarhus;Divorced;22215
2008Q1;Herning;Total;84208
2008Q1;Herning;Never married;38990
2008Q1;Herning;Married/separated;35399
2008Q1;Herning;Widowed;4678
2008Q1;Herning;Divorced;5141
2008Q1;Holstebro;Total;57020
2008Q1;Holstebro;Never married;26628
2008Q1;Holstebro;Married/separated;23629
2008Q1;Holstebro;Widowed;3279
2008Q1;Holstebro;Divorced;3484
2008Q1;Ikast-Brande;Total;39893
2008Q1;Ikast-Brande;Never married;17909
2008Q1;Ikast-Brande;Married/separated;17324
2008Q1;Ikast-Brande;Widowed;2220
2008Q1;Ikast-Brande;Divorced;2440
2008Q1;Lemvig;Total;22067
2008Q1;Lemvig;Never married;9412
2008Q1;Lemvig;Married/separated;9901
2008Q1;Lemvig;Widowed;1572
2008Q1;Lemvig;Divorced;1182
2008Q1;Ringkøbing-Skjern;Total;58368
2008Q1;Ringkøbing-Skjern;Never married;25739
2008Q1;Ringkøbing-Skjern;Married/separated;25868
2008Q1;Ringkøbing-Skjern;Widowed;3594
2008Q1;Ringkøbing-Skjern;Divorced;3167
2008Q1;Skive;Total;48356
2008Q1;Skive;Never married;21713
2008Q1;Skive;Married/separated;20633
2008Q1;Skive;Widowed;3167
2008Q1;Skive;Divorced;2843
2008Q1;Struer;Total;22672
2008Q1;Struer;Never married;9538
2008Q1;Struer;Married/separated;10247
2008Q1;Struer;Widowed;1417
2008Q1;Struer;Divorced;1470
2008Q1;Viborg;Total;92084
2008Q1;Viborg;Never married;42454
2008Q1;Viborg;Married/separated;38167
2008Q1;Viborg;Widowed;5362
2008Q1;Viborg;Divorced;6101
2008Q1;Region Nordjylland;Total;578839
2008Q1;Region Nordjylland;Never married;264477
2008Q1;Region Nordjylland;Married/separated;237648
2008Q1;Region Nordjylland;Widowed;37401
2008Q1;Region Nordjylland;Divorced;39313
2008Q1;Brønderslev;Total;35525
2008Q1;Brønderslev;Never married;15540
2008Q1;Brønderslev;Married/separated;15291
2008Q1;Brønderslev;Widowed;2452
2008Q1;Brønderslev;Divorced;2242
2008Q1;Frederikshavn;Total;62751
2008Q1;Frederikshavn;Never married;26138
2008Q1;Frederikshavn;Married/separated;27309
2008Q1;Frederikshavn;Widowed;4542
2008Q1;Frederikshavn;Divorced;4762
2008Q1;Hjørring;Total;67121
2008Q1;Hjørring;Never married;29979
2008Q1;Hjørring;Married/separated;27935
2008Q1;Hjørring;Widowed;4500
2008Q1;Hjørring;Divorced;4707
2008Q1;Jammerbugt;Total;38957
2008Q1;Jammerbugt;Never married;16612
2008Q1;Jammerbugt;Married/separated;17484
2008Q1;Jammerbugt;Widowed;2592
2008Q1;Jammerbugt;Divorced;2269
2008Q1;Læsø;Total;2003
2008Q1;Læsø;Never married;703
2008Q1;Læsø;Married/separated;908
2008Q1;Læsø;Widowed;223
2008Q1;Læsø;Divorced;169
2008Q1;Mariagerfjord;Total;42667
2008Q1;Mariagerfjord;Never married;19039
2008Q1;Mariagerfjord;Married/separated;18044
2008Q1;Mariagerfjord;Widowed;2676
2008Q1;Mariagerfjord;Divorced;2908
2008Q1;Morsø;Total;22091
2008Q1;Morsø;Never married;9605
2008Q1;Morsø;Married/separated;9500
2008Q1;Morsø;Widowed;1595
2008Q1;Morsø;Divorced;1391
2008Q1;Rebild;Total;28753
2008Q1;Rebild;Never married;12763
2008Q1;Rebild;Married/separated;12676
2008Q1;Rebild;Widowed;1663
2008Q1;Rebild;Divorced;1651
2008Q1;Thisted;Total;45549
2008Q1;Thisted;Never married;19721
2008Q1;Thisted;Married/separated;19929
2008Q1;Thisted;Widowed;3216
2008Q1;Thisted;Divorced;2683
2008Q1;Vesthimmerlands;Total;38277
2008Q1;Vesthimmerlands;Never married;17245
2008Q1;Vesthimmerlands;Married/separated;15926
2008Q1;Vesthimmerlands;Widowed;2670
2008Q1;Vesthimmerlands;Divorced;2436
2008Q1;Aalborg;Total;195145
2008Q1;Aalborg;Never married;97132
2008Q1;Aalborg;Married/separated;72646
2008Q1;Aalborg;Widowed;11272
2008Q1;Aalborg;Divorced;14095
2008Q2;All Denmark;Total;5482266
2008Q2;All Denmark;Never married;2563134
2008Q2;All Denmark;Married/separated;2171174
2008Q2;All Denmark;Widowed;316408
2008Q2;All Denmark;Divorced;431550
2008Q2;Region Hovedstaden;Total;1648990
2008Q2;Region Hovedstaden;Never married;814923
2008Q2;Region Hovedstaden;Married/separated;595414
2008Q2;Region Hovedstaden;Widowed;88325
2008Q2;Region Hovedstaden;Divorced;150328
2008Q2;Copenhagen;Total;511725
2008Q2;Copenhagen;Never married;311978
2008Q2;Copenhagen;Married/separated;128289
2008Q2;Copenhagen;Widowed;21298
2008Q2;Copenhagen;Divorced;50160
2008Q2;Frederiksberg;Total;93848
2008Q2;Frederiksberg;Never married;51256
2008Q2;Frederiksberg;Married/separated;27601
2008Q2;Frederiksberg;Widowed;5672
2008Q2;Frederiksberg;Divorced;9319
2008Q2;Dragør;Total;13315
2008Q2;Dragør;Never married;4946
2008Q2;Dragør;Married/separated;6547
2008Q2;Dragør;Widowed;860
2008Q2;Dragør;Divorced;962
2008Q2;Tårnby;Total;40002
2008Q2;Tårnby;Never married;16848
2008Q2;Tårnby;Married/separated;16820
2008Q2;Tårnby;Widowed;2686
2008Q2;Tårnby;Divorced;3648
2008Q2;Albertslund;Total;27564
2008Q2;Albertslund;Never married;13484
2008Q2;Albertslund;Married/separated;10606
2008Q2;Albertslund;Widowed;1062
2008Q2;Albertslund;Divorced;2412
2008Q2;Ballerup;Total;47253
2008Q2;Ballerup;Never married;20952
2008Q2;Ballerup;Married/separated;19301
2008Q2;Ballerup;Widowed;2633
2008Q2;Ballerup;Divorced;4367
2008Q2;Brøndby;Total;33772
2008Q2;Brøndby;Never married;14521
2008Q2;Brøndby;Married/separated;13785
2008Q2;Brøndby;Widowed;2118
2008Q2;Brøndby;Divorced;3348
2008Q2;Gentofte;Total;68997
2008Q2;Gentofte;Never married;31394
2008Q2;Gentofte;Married/separated;27250
2008Q2;Gentofte;Widowed;4460
2008Q2;Gentofte;Divorced;5893
2008Q2;Gladsaxe;Total;62703
2008Q2;Gladsaxe;Never married;29400
2008Q2;Gladsaxe;Married/separated;23664
2008Q2;Gladsaxe;Widowed;3847
2008Q2;Gladsaxe;Divorced;5792
2008Q2;Glostrup;Total;20734
2008Q2;Glostrup;Never married;9426
2008Q2;Glostrup;Married/separated;7856
2008Q2;Glostrup;Widowed;1433
2008Q2;Glostrup;Divorced;2019
2008Q2;Herlev;Total;26574
2008Q2;Herlev;Never married;11583
2008Q2;Herlev;Married/separated;10870
2008Q2;Herlev;Widowed;1708
2008Q2;Herlev;Divorced;2413
2008Q2;Hvidovre;Total;49284
2008Q2;Hvidovre;Never married;22542
2008Q2;Hvidovre;Married/separated;19195
2008Q2;Hvidovre;Widowed;2981
2008Q2;Hvidovre;Divorced;4566
2008Q2;Høje-Taastrup;Total;47225
2008Q2;Høje-Taastrup;Never married;21269
2008Q2;Høje-Taastrup;Married/separated;19703
2008Q2;Høje-Taastrup;Widowed;2191
2008Q2;Høje-Taastrup;Divorced;4062
2008Q2;Ishøj;Total;20678
2008Q2;Ishøj;Never married;9517
2008Q2;Ishøj;Married/separated;8448
2008Q2;Ishøj;Widowed;852
2008Q2;Ishøj;Divorced;1861
2008Q2;Lyngby-Taarbæk;Total;51508
2008Q2;Lyngby-Taarbæk;Never married;23341
2008Q2;Lyngby-Taarbæk;Married/separated;19842
2008Q2;Lyngby-Taarbæk;Widowed;3810
2008Q2;Lyngby-Taarbæk;Divorced;4515
2008Q2;Rødovre;Total;36163
2008Q2;Rødovre;Never married;16246
2008Q2;Rødovre;Married/separated;13765
2008Q2;Rødovre;Widowed;2528
2008Q2;Rødovre;Divorced;3624
2008Q2;Vallensbæk;Total;12710
2008Q2;Vallensbæk;Never married;5057
2008Q2;Vallensbæk;Married/separated;6168
2008Q2;Vallensbæk;Widowed;577
2008Q2;Vallensbæk;Divorced;908
2008Q2;Allerød;Total;23515
2008Q2;Allerød;Never married;9524
2008Q2;Allerød;Married/separated;11457
2008Q2;Allerød;Widowed;1040
2008Q2;Allerød;Divorced;1494
2008Q2;Egedal;Total;40733
2008Q2;Egedal;Never married;16927
2008Q2;Egedal;Married/separated;19858
2008Q2;Egedal;Widowed;1514
2008Q2;Egedal;Divorced;2434
2008Q2;Fredensborg;Total;39148
2008Q2;Fredensborg;Never married;16491
2008Q2;Fredensborg;Married/separated;17224
2008Q2;Fredensborg;Widowed;1902
2008Q2;Fredensborg;Divorced;3531
2008Q2;Frederikssund;Total;44150
2008Q2;Frederikssund;Never married;18229
2008Q2;Frederikssund;Married/separated;19858
2008Q2;Frederikssund;Widowed;2513
2008Q2;Frederikssund;Divorced;3550
2008Q2;Furesø;Total;37753
2008Q2;Furesø;Never married;15580
2008Q2;Furesø;Married/separated;17252
2008Q2;Furesø;Widowed;1972
2008Q2;Furesø;Divorced;2949
2008Q2;Gribskov;Total;40568
2008Q2;Gribskov;Never married;16258
2008Q2;Gribskov;Married/separated;18502
2008Q2;Gribskov;Widowed;2300
2008Q2;Gribskov;Divorced;3508
2008Q2;Halsnæs;Total;30767
2008Q2;Halsnæs;Never married;12481
2008Q2;Halsnæs;Married/separated;13426
2008Q2;Halsnæs;Widowed;1995
2008Q2;Halsnæs;Divorced;2865
2008Q2;Helsingør;Total;60832
2008Q2;Helsingør;Never married;26113
2008Q2;Helsingør;Married/separated;24739
2008Q2;Helsingør;Widowed;3611
2008Q2;Helsingør;Divorced;6369
2008Q2;Hillerød;Total;46607
2008Q2;Hillerød;Never married;20572
2008Q2;Hillerød;Married/separated;20129
2008Q2;Hillerød;Widowed;2354
2008Q2;Hillerød;Divorced;3552
2008Q2;Hørsholm;Total;24189
2008Q2;Hørsholm;Never married;9227
2008Q2;Hørsholm;Married/separated;11204
2008Q2;Hørsholm;Widowed;1579
2008Q2;Hørsholm;Divorced;2179
2008Q2;Rudersdal;Total;53859
2008Q2;Rudersdal;Never married;22500
2008Q2;Rudersdal;Married/separated;23790
2008Q2;Rudersdal;Widowed;3418
2008Q2;Rudersdal;Divorced;4151
2008Q2;Bornholm;Total;42720
2008Q2;Bornholm;Never married;17230
2008Q2;Bornholm;Married/separated;18217
2008Q2;Bornholm;Widowed;3403
2008Q2;Bornholm;Divorced;3870
2008Q2;Christiansø;Total;94
2008Q2;Christiansø;Never married;31
2008Q2;Christiansø;Married/separated;48
2008Q2;Christiansø;Widowed;8
2008Q2;Christiansø;Divorced;7
2008Q2;Region Sjælland;Total;819704
2008Q2;Region Sjælland;Never married;351889
2008Q2;Region Sjælland;Married/separated;348004
2008Q2;Region Sjælland;Widowed;50782
2008Q2;Region Sjælland;Divorced;69029
2008Q2;Greve;Total;47749
2008Q2;Greve;Never married;19474
2008Q2;Greve;Married/separated;22217
2008Q2;Greve;Widowed;2245
2008Q2;Greve;Divorced;3813
2008Q2;Køge;Total;56668
2008Q2;Køge;Never married;24702
2008Q2;Køge;Married/separated;24360
